rule,style,score,pos,t_trades,t_win_rate,t_avg_return,t_median_return,t_total_compound,t_best,t_worst,m_months,m_avg_month_pct,m_median_month_pct,m_pct_months_ge_20,m_pct_months_gt_0,m_best_month_pct,m_worst_month_pct,m_months_ge_20
FMR_mfi6<25_pb<=0.25_none_none_h3_mid1_s0.1,mean_rev,20.82,1,2654,53.65486058779201,1.1810852420091185,0.8917069288614687,123903.80451522648,100.0,-50.0,91,6.42,3.33,15.4,63.7,107.19,-21.03,14
FMR_mfi14<25_pb<=0.15_none_none_h2_mid0_s0.07,mean_rev,20.43,2,865,56.64739884393064,1.325622911436834,1.1975972633274656,4922.583437168531,100.0,-50.0,90,4.28,3.46,5.6,70.0,40.83,-15.79,5
FMR_mfi14<25_pb<=0.15_none_none_h2_mid1_s0.07,mean_rev,20.43,2,865,56.64739884393064,1.325622911436834,1.1975972633274656,4922.583437168531,100.0,-50.0,90,4.28,3.46,5.6,70.0,40.83,-15.79,5
FMR_mfi14<30_pb<=0.15_none_none_h2_mid1_s0.07,mean_rev,19.66,1,1305,54.252873563218394,1.096505515190423,1.0344786468528655,6818.993057608738,100.0,-50.0,91,4.78,3.86,6.6,68.1,62.97,-24.71,6
FMR_mfi14<30_pb<=0.15_none_none_h2_mid0_s0.07,mean_rev,19.66,1,1305,54.252873563218394,1.096505515190423,1.0344786468528655,6818.993057608738,100.0,-50.0,91,4.78,3.86,6.6,68.1,62.97,-24.71,6
FMR_mfi14<30_pb<=0.15_none_none_h2_mid1_s0.1,mean_rev,19.52,2,1305,54.32950191570881,1.1520446747753743,1.0600660528778283,11619.130896314882,100.0,-50.0,91,4.6,3.39,6.6,68.1,74.37,-19.66,6
FMR_mfi14<30_pb<=0.15_none_none_h2_mid0_s0.1,mean_rev,19.52,2,1305,54.32950191570881,1.1520446747753743,1.0600660528778283,11619.130896314882,100.0,-50.0,91,4.6,3.39,6.6,68.1,74.37,-19.66,6
FMR_mfi14<30_pb<=0.15_none_none_h3_mid0_s0.1,mean_rev,19.44,2,1262,58.00316957210776,2.6631668019453834,1.9897925254120152,50876693736.04818,100.0,-50.0,91,5.12,3.18,7.7,65.9,81.93,-21.47,7
FMR_mfi14<25_pb<=0.15_none_none_h2_mid1_s0.1,mean_rev,19.31,2,865,56.53179190751445,1.2714254218267853,1.1975972633274656,2883.1393064014965,100.0,-50.0,90,3.93,3.35,5.6,70.0,31.67,-18.14,5
FMR_mfi14<25_pb<=0.15_none_none_h2_mid0_s0.1,mean_rev,19.31,2,865,56.53179190751445,1.2714254218267853,1.1975972633274656,2883.1393064014965,100.0,-50.0,90,3.93,3.35,5.6,70.0,31.67,-18.14,5
FMR_mfi6<20_pb<=0.25_none_none_h4_mid0_s0.1,mean_rev,18.7,1,2194,53.281677301732,2.028519949690849,0.8633992256038114,60201012644.94529,100.0,-50.0,91,5.77,2.57,12.1,63.7,66.93,-19.97,11
FMR_mfi14<30_pb<=0.15_none_none_h4_mid0_s0.07,mean_rev,18.15,1,1255,57.928286852589636,3.0770629851655364,2.3254046437673592,1764800343277.8743,100.0,-50.0,91,6.02,1.94,6.6,61.5,92.52,-18.68,6
FMR_mfi6<25_pb<=0.0_none_none_h3_mid0_s0.1,mean_rev,17.99,1,1037,54.09836065573771,1.2052568875209482,0.8658010602323962,-32.366694846546096,100.0,-50.0,91,5.98,2.27,8.8,57.1,203.08,-18.84,8
FMR_mfi6<30_pb<=0.25_none_none_h2_mid1_s0.07,mean_rev,17.99,2,3350,50.65671641791045,0.8341250925687143,0.1572679207527461,42886.29712172312,100.0,-50.0,91,4.09,3.21,6.6,67.0,31.07,-20.45,6
FMR_mfi6<30_pb<=0.25_none_none_h2_mid0_s0.07,mean_rev,17.99,2,3350,50.65671641791045,0.8341250925687143,0.1572679207527461,42886.29712172312,100.0,-50.0,91,4.09,3.21,6.6,67.0,31.07,-20.45,6
FMR_mfi14<25_pb<=0.15_none_none_h4_mid0_s0.07,mean_rev,17.96,1,843,57.76986951364176,3.211901968094239,1.9197084528132402,1416165944.9668674,100.0,-50.0,91,4.08,2.94,4.4,60.4,56.01,-17.4,4
FMR_mfi13<30_pb<=0.25_none_none_h4_mid1_s0.1,mean_rev,17.78,2,1785,57.70308123249299,2.311975814841487,1.5936075248787818,1127580084332.4878,100.0,-50.0,91,3.58,3.67,6.6,61.5,43.95,-23.1,6
FWALK_mfi14>=50_pb>=0.85_mup1_h4,band_walk,17.47,2,2613,46.15384615384615,2.6726735461064584,-0.8830022075055233,7.151692328981327e+18,100.0,-50.0,91,4.93,3.32,7.7,62.6,53.1,-25.17,7
FMR_mfi13<30_pb<=0.15_none_none_h4_mid0_s0.1,mean_rev,17.35,1,1382,56.295224312590456,3.127444206250739,1.7771943226128184,9186204895648.469,100.0,-50.0,91,6.77,2.8,13.2,62.6,203.08,-35.67,12
FMR_mfi6<30_pb<=0.0_none_none_h4_mid0_s0.07,mean_rev,17.31,1,1126,53.9076376554174,2.0091222647531355,1.102482607137656,313556.59622699517,100.0,-50.0,91,5.41,2.12,11.0,58.2,105.18,-17.79,10
FMR_mfi6<30_pb<=0.15_bw40_none_h2_mid1_s0.1,mean_rev,17.08,1,1052,49.619771863117876,0.8880629675394989,-6.324996565387764e-06,4956.7150665629315,100.0,-40.84507035263212,89,3.89,3.46,10.1,56.2,101.56,-20.51,9
FMR_mfi6<30_pb<=0.15_bw40_none_h2_mid0_s0.1,mean_rev,17.08,1,1052,49.619771863117876,0.8880629675394989,-6.324996565387764e-06,4956.7150665629315,100.0,-40.84507035263212,89,3.89,3.46,10.1,56.2,101.56,-20.51,9
FMR_mfi6<30_pb<=0.15_bw40_none_h2_mid0_s0.07,mean_rev,17.07,1,1052,49.52471482889734,0.8917805599053079,-0.03328900075204033,5177.129482501675,100.0,-40.84507035263212,89,3.89,3.46,10.1,56.2,101.56,-20.51,9
FMR_mfi6<30_pb<=0.15_bw40_none_h2_mid1_s0.07,mean_rev,17.07,1,1052,49.52471482889734,0.8917805599053079,-0.03328900075204033,5177.129482501675,100.0,-40.84507035263212,89,3.89,3.46,10.1,56.2,101.56,-20.51,9
FMR_mfi14<30_pb<=0.15_none_none_h3_mid1_s0.1,mean_rev,17.01,2,1263,57.561361836896275,2.2344525156893953,1.7192013495133107,613451116.4423043,100.0,-50.0,91,4.58,2.32,8.8,61.5,88.95,-19.42,8
FMR_mfi14<30_pb<=0.25_none_none_h3_mid0_s0.1,mean_rev,16.96,2,1628,56.57248157248157,2.3815960256509543,1.6511468120454231,1904098157770.2644,100.0,-50.0,91,3.57,2.9,4.4,64.8,74.8,-20.65,4
FMR_mfi14<25_pb<=0.15_none_none_h4_mid1_s0.1,mean_rev,16.95,2,834,60.5515587529976,2.5493134278022285,2.1702861287348885,15941292.877592575,100.0,-50.0,90,2.73,2.58,1.1,66.7,26.45,-15.0,1
FMR_mfi6<20_pb<=0.15_none_none_h3_mid1_s0.07,mean_rev,16.92,2,1924,52.85862785862786,0.9422631737515367,0.685733216716411,-46.28217760793656,84.1765391954588,-50.0,91,3.2,3.75,6.6,60.4,42.62,-23.42,6
